"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Great Britain--Secondary schools--Curriculum subjects--Fiction in English--Teaching","general term","007375349","Monograph","Language material ; Text","Volume","GB8931860","","9780435164188","Hales, Sheila","","person","","Hales, Sheila [person] ; Ballard, J. G., 1930-2009 [person]","Empire of the sun, J.G. Ballard","Empire of the sun","Heinemann fiction project ; Teaching strategies for literature and language","","England","Oxford","Heinemann","1989","","48 pages, illustrations, 30 cm","823.0071241","Cup.936/1086","","English","In plastic slip case",""
"Great Britain--Social life and customs--20th century--Fiction","geographical term","006716274","Monograph","Language material ; Text","Volume","GBA1W4933","","9780007124053","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The complete short stories","Short stories (Ibadan, Nigeria)","","","England","London","Flamingo","2001","","ix, 1189 pages, 25 cm","823.914","Nov.2001/1758","Fiction","English","",""
"High-rise apartment buildings--Social aspects--Fiction","general term","009380953","Monograph","Language material ; Text","Volume","GBA3Z2483","","9780007162970","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-rise","","Flamingo 70s classics series","","England","London","Flamingo","2003","","198 pages, 18 cm","823.914","H.2003/2429","Dystopia ; Fiction","English","Originally published: London: Jonathan Cape, 1975",""
"High-rise apartment buildings--Social aspects--Fiction","general term","017379931","Monograph","Language material ; Text","Volume","GBB569149","","9780008134891","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","High-rise","","","","England","London","4th Estate","2016","Film tie-in edition","248 pages, 20 cm","823.914","H.2017/.7285","Dystopia ; Fiction","English","Film tie-in ; Originally published: London: Cape, 1975",""
"High-rise apartment buildings--Social aspects--Fiction","general term","017847370","Monograph","Language material ; Text","Online resource","GBB6F6382","","9780007382910","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-rise","","","","Australia","Sydney","Fourth Estate","2014","","1 online resource","823.914","ELD.DS.60012","Fiction","English","Fiction",""
"Höller, Carsten--Exhibitions","person","013035790","Monograph","Language material ; Text","Volume","","","9782868479747","","","","","Ballard, J. G., 1930-2009 [person] ; Galerie Art & essai [organisation]","Doubtiful, dans les plis du réel : Gilles Barbier, François Curlet, Leandro Erlich, Carsten Höller, Didier Marcel, Aernout Mik, Amy O'Neil, Cerith Wyn Evans","","Collection Métiers de l'exposition","","France","Rennes","Presses universitaires de Rennes","2004","","144 pages, colour illustrations, 23 cm","","YF.2005.a.15715","Exhibition","French","'Publication éditée à l'occasion de l'exposition présentée à la galerie art et essai de l'université Rennes 2 du 19 mai au 26 juin 2004'--Prelim. p",""
"Islands of the Pacific--Fiction","geographical term","016659368","Monograph","Language material ; Text","Volume","","","9780312131647 ; 9780312134150","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Rushing to paradise","","","","United States of America","New York","Picador USA","1995","1st Picador USA edition","238 pages, 22 cm","823.914","YD.2014.a.1226","Humour or satire ; Utopian fiction","English","",""
"Klang","general term","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"LITERARY CRITICISM / Science Fiction & Fantasy","general term","019229217","Monograph","Language material ; Text","Volume","","","9780252041433 ; 9780252082955","Wilson, D. Harlan","","person","author","Wilson, D. Harlan, author [person]","J. G. Ballard","","Modern masters of science fiction","","United States of America","Urbana","University of Illinois Press","2017","","x, 197 pages, 24 cm","823.914","YD.2019.a.541","","English","Additional physical form: Wilson, D. Harlan, author. Online version. J. G. Ballard. Urbana : University of Illinois Press, 2017. 9780252050039",""
"LITERARY CRITICISM--European--English, Irish, Scottish, Welsh","general term","019388553","Monograph","Language material ; Text","Online resource","GBB986875","","9781282875401 ; 9781441163622","","","","","Baxter, Jeannette [person]","J.G. Ballard","Death at work : the cinematic imagination of J.G. Ballard ; Disquieting features : an introductory tour of The atrocity exhibition ; From Shanghai to Shepperton : crises of representation in J.G. Ballard's Londons ; J.G. Ballard and the contemporary ; Mind is the battlefield : reading Ballard's 'Life trilogy' as war literature ; Situating the violence of J.G. Ballard's postmillennial fiction : the possibilities of sacrifice, the certainties of trauma ; The Gothic, the body, and the failed homeopathy argument : reading Crash ; The geometry of the space age : J.G. Ballard's short fiction and science fiction of the 1960s ; Visions of Europe in Cocaine nights and Super-Cannes","Contemporary critical perspectives","","England ; United States of America","London ; New York","Continuum","2008","","1 online resource (xvii, 151 pages)","823.914","ELD.DS.416813","Aufsatzsammlung ; Criticsm and interpretation","English","",""
"Large type books","general term","014782993","Monograph","Language material ; Text","Volume","GBA8C1396","","9780753195246","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","Oxford","ISIS","2009","Large print edition","249 pages (large print), 25 cm","823.914","LT.2009.x.390","Biography","English","Originally published: London: Fourth Estate, 2008",""
"Lee, Vernon, 1856-1935","person","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"Lee, Vernon, 1856-1935--Criticism and interpretation","person","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"Lennon, John, 1940-1980","person","018677669","Monograph","Language material ; Text","Volume","","","","","","","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Literary Criticism--General","general term","018841974","Monograph","Language material ; Text","Online resource","GBB879538","","9781441182401","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England ; United Kingdom","London","Continuum","2011","","1 online resource (210 pages)","823.914","ELD.DS.278199","","English","",""
"Literary studies: fiction, novelists & prose writers","general term","018841974","Monograph","Language material ; Text","Online resource","GBB879538","","9781441182401","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England ; United Kingdom","London","Continuum","2011","","1 online resource (210 pages)","823.914","ELD.DS.278199","","English","",""
"Literary studies: from c 1900","general term","018841974","Monograph","Language material ; Text","Online resource","GBB879538","","9781441182401","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England ; United Kingdom","London","Continuum","2011","","1 online resource (210 pages)","823.914","ELD.DS.278199","","English","",""
"Literatur","general term","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
